10,Counter-Strike,0,5.5,False,2000,False,Yes,Yes,Yes
20,Team Fortress Classic,0,3.0,False,1999,False,Yes,Yes,Yes
30,Day of Defeat,0,3.0,False,2003,False,Yes,Yes,Yes
40,Deathmatch Classic,0,3.0,False,2001,False,Yes,Yes,Yes
50,Half-Life: Opposing Force,0,3.0,False,1999,False,Yes,Yes,Yes
60,Ricochet,0,3.0,False,2000,False,Yes,Yes,Yes
70,Half-Life,0,5.5,False,1998,False,Yes,Yes,Yes
80,Counter-Strike: Condition Zero,0,5.5,False,2004,False,Yes,Yes,Yes
130,Half-Life: Blue Shift,0,3.0,False,2001,False,Yes,Yes,Yes
220,Half-Life 2,0,5.5,False,2004,False,Yes,Yes,Yes
240,Counter-Strike: Source,0,5.5,False,2004,False,Yes,Yes,Yes
280,Half-Life: Source,0,5.5,False,2004,False,Yes,Yes,Yes
300,Day of Defeat: Source,0,5.5,False,2010,False,Yes,Yes,Yes
320,Half-Life 2: Deathmatch,0,3.0,False,2004,False,Yes,Yes,Yes
340,Half-Life 2: Lost Coast,0,0.0,False,2005,False,Yes,Yes,Yes
360,Half-Life Deathmatch: Source,0,5.5,False,2006,False,Yes,Yes,Yes
380,Half-Life 2: Episode One,0,4.75,False,2006,False,Yes,Yes,Yes
400,Portal,0,5.5,False,2007,False,Yes,Yes,Yes
420,Half-Life 2: Episode Two,0,4.75,False,2007,False,Yes,Yes,Yes
440,Team Fortress 2,0,0.0,False,2007,True,Yes,Yes,Yes
500,Left 4 Dead,0,5.5,False,2008,False,Yes,Yes,No
550,Left 4 Dead 2,0,5.5,False,2009,False,Yes,Yes,Yes
570,Dota 2,0,0.0,False,2013,True,Yes,Yes,Yes
620,Portal 2,0,5.5,False,2011,False,Yes,Yes,Yes
630,Alien Swarm,0,0.0,False,2010,True,Yes,No,No
730,Counter-Strike: Global Offensive,0,0.0,False,2012,True,Yes,Yes,Yes
1002,Rag Doll Kung Fu,0,0.62,False,2005,False,Yes,No,No
1200,Red Orchestra: Ostfront 41-45,0,3.0,False,2006,False,Yes,Yes,Yes
1250,Killing Floor,17,6.88,False,2009,False,Yes,Yes,Yes
1300,SiN Episodes: Emergence,0,5.5,False,2006,False,Yes,No,No
1313,SiN: Gold,0,5.5,False,2020,False,Yes,No,No
1500,Darwinia,0,5.5,False,2005,False,Yes,Yes,Yes
1510,Uplink,0,6.88,False,2006,False,Yes,Yes,Yes
1520,DEFCON,0,5.5,False,2006,False,Yes,Yes,Yes
1530,Multiwinia,0,5.5,False,2008,False,Yes,Yes,No
1600,Dangerous Waters,0,9.38,False,2006,False,Yes,No,No
1610,Space Empires IV Deluxe,0,6.88,False,2006,False,Yes,No,No
1620,Jagged Alliance 2 Gold,0,11.88,False,2006,False,Yes,No,No
1630,Disciples II: Rise of the Elves ,0,5.0,False,2006,False,Yes,No,No
1640,Disciples II: Gallean's Return,0,5.0,False,2006,False,Yes,No,No
1670,Iron Warriors: T - 72 Tank Command ,0,3.75,False,2006,False,Yes,No,No
1690,Space Empires V,0,9.38,False,2006,False,Yes,No,No
